SHA,Message,Author,Username,Date
b99482dfb1ed831a08e3382f1563109042f37ea9,Try making skipped Cypress test less flaky and un-skip. (#20568),Cody Leff,codyml,2022-06-30T22:30:32Z
ac8e502228d1b247c1b56ee692c2cefade1bf1a9,"fix: Respecting max/min opacities, and adding tests. (#20555)

* Respecting max/min opacities, and adding tests.

* revising tests

* Adding missing test case for maximum coverage :)

* removing unnecessary logic and test

* adding another unit test for (hopefully) full coverage.

* no more ternary operator

* New approach with Math.min  - take THAT codecov.

* one more stab at making codecov happy... ignoring the file next.

* lint fixes",Evan Rusackas,rusackas,2022-06-30T22:09:03Z
f5f8ddec3e5c947896521003295e1acd93851674,"Revert ""feat(plugin-chart-echarts): Support stacking negative and positive values (#20408)"" (#20571)

This reverts commit c959d92dd17499e3fb7a0f4f02f3781516f3d3e6.",Evan Rusackas,rusackas,2022-06-30T19:52:43Z
b30f6a5db1c9d79d4837529b671090f4a908c056,"chore(explore): Get Explore data from endpoint instead of bootstrap_data (#20519)

* feat(explore): Use v1/explore endpoint data instead of bootstrapData

* Add tests

* Fix ci

* Remove redundant dependency

* Use form_data_key in cypress tests

* Add auth headers to for data request

* Address comments

* Remove displaying danger toast

* Conditionally add auth headers

* Address comments

* Fix typing bug

* fix

* Fix opening dataset

* Fix sqllab chart create

* Run queries in parallel

* Fix dashboard id autofill

* Fix lint

* Fix test",Kamil Gabryjelski,kgabryje,2022-06-30T19:06:51Z
f2af81b1c74a56e6854039cfe5f32e9b035ce262,"feat: add extension point to the right side of the menu bar (#20514)

* add setupExtensions

* add 'navbar.right' extension to registry

* add test for navbar.right extension point

* rename MenuRight -> RightMenu

* lint",Sam Faber-Manning,samtfm,2022-06-30T17:43:20Z
edb1383bf8aa0755b65a989880825083c7beb7fb,chore(dashboard): Resolve form_data vs. formData in dashboard redux state,Cody Leff,codyml,2022-06-30T10:49:18Z
932e304ffbd14c46b2d816743c50c6aa7832fca2,fix(database-modal): forms in database modal will be effected by external form values (#20487),Stephen Liu,stephenLYZ,2022-06-30T08:21:33Z
24a53c38c68108c47af9f7685542fcb8378915bf,fix(big-number): big number gets cut off on a Dashboard (#20488),Stephen Liu,stephenLYZ,2022-06-30T08:19:38Z
90d486a643e59b44278d2cef64652151eb6248f6,"fix: SQL Lab cancel query in Redshift database connection does not wo… (#16326)

* fix: SQL Lab cancel query in Redshift database connection does not work #16325


Co-authored-by: Venkata Krishnan Somasundaram <venkata_cred@Venkatas-MacBook-Pro.local>
Co-authored-by: Elizabeth Thompson <eschutho@gmail.com>",yourssvk,yourssvk,2022-06-29T18:12:59Z
cadd259788c99415862cef7e8a5da9aaf4ed12cd,feat: save active tabs in dashboard permalink (#19983),Jesse Yang,ktmud,2022-06-29T16:43:52Z
c5d3678a31e622aab0648c9176883f0932870558,"fix: Unable to download the Dashboard as image in case there's an image added through Markdown (#20362)

* fix: Unable to download the Dashboard as image in case there's an image added through Markdown

* licence",Diego Medina,diegomedina248,2022-06-29T16:22:49Z
cb3cd41dcd33af37b06e8ffc4d6d7ae1166d2d7f,"fix: Removes psycopg2 as a required dependency (#20543)

* fix: Removes psycopg2 as a required dependency

* Disables lint warning",Michael S. Molina,michael-s-molina,2022-06-29T12:22:13Z
4eb2a6f4a357f0b20376e163dadc5a955e76e369,chore: Updates metrics and columns font-size (#20526),Michael S. Molina,michael-s-molina,2022-06-29T11:05:00Z
de524bc59f011fd361dcdb7d35c2cb51f7eba442,feat: apply standardized form data to tier 2 charts (#20530),Yongjie Zhao,zhaoyongjie,2022-06-29T08:27:31Z
927d066f70abd972f1fd76def0e455828c10a5c4,"chore: move isAdhocColumn from controls to core (#20529)

* chore: move isAdhocColumn to superset-ui/core

* ut",Yongjie Zhao,zhaoyongjie,2022-06-29T05:09:44Z
850f5fa136aa2043a146fed0d5f58f6b2a9de96b,"fix(database-modal): Refresh Data when importing (#20523)

* Database Modal:

- Add missing invocation to onDatabaseAdd after importing DB from file
- Add keys to our IconButtons

* Database Modal:

- Reduce if clause so it's more concise",Antonio Rivero Martinez,Antonio-RiveroMartnez,2022-06-28T22:13:09Z
93fbfe9d28af54384d75ea074548e03a2ae25606,"Updated copy in chart drop down to ""View as table"" (#20486)",Alex Lauderbaugh,lauderbaugh,2022-06-28T20:49:13Z
e12ee59b13822241dca8d8015f1222c477edd4f3,"feat(explore): Apply denormalization to tier 2 charts form data (#20524)

* feat(explore): Denormalize form data in Calendar Heatmap

* feat(explore): Denormalize form data in Bubble

* feat(explore): Denormalize form data in Chord

* Dimensions -> Dimension for single selection

* feat(explore): Denormalize form data in Country Map

* feat(explore): Denormalize form data in Heatmap

* feat(explore): Denormalize form data in Histogram

* feat(explore): Denormalize form data in Handlebars

* feat(explore): Denormalize form data in Percent Change

* Use new standardized form data interface",Kamil Gabryjelski,kgabryje,2022-06-28T18:21:36Z
c348a095b9de78917bce6f70ea06de1760fb9996,refactor(standardized form data): refine interface and improve code smells (#20518),Yongjie Zhao,zhaoyongjie,2022-06-28T13:09:42Z
23e62d3782e75f1ed6c7baf0d511b4464249dbf3,"fix(db): Show the only db install guide when the db is already installed and error is existed while importing file. (#20442)

* fix(db): make to show the db error msg when db installed and error is exist

* fix(db): make to replace dbinstall str into showDbInstallInstructions",smileydev,prosdev0107,2022-06-28T12:53:02Z
364bb7c639c5a78b0ad0422600cc477a8effdd04,"chore: added new translations to the spanish language (#20427)

* Added new translations for Spanish Language - Specifically on the visualizations of Time-Series

* Chore: Added more translations to the Time-Series visualizations",Saint,cdpazos27,2022-06-28T12:34:14Z
280b4be4498bdf811d9be83d6ce6514bc5832b87,"feat(vizgallery): Double-click viz type to submit form (#20513)

* Make double-clicking on viz type submit the form.

* Add tests.",Cody Leff,codyml,2022-06-28T12:27:04Z
480ee3891766fb4869f003f794952379fa43b890,chore: Updates control panels font size in Explore (#20510),Michael S. Molina,michael-s-molina,2022-06-28T12:16:59Z
c4d2238a1629851b0c044dba3f20c3af4c0a9031,"feat: add Spark Sql DB engine spec and support Spark 3.x (#20462)

* add apache spark3

* add Spark DB engine spec

* rebase secret key

* modify License error

* rebase databricks

* modify code style

* black code style

Co-authored-by: kai.he01 <kai.he01@idiaoyan.com>",Susur,SusurHe,2022-06-27T22:50:35Z
ddcef70fbd03691dbc2bee6842f90d68944f56bc,change permissions on action (#20496),Elizabeth Thompson,eschutho,2022-06-27T22:22:43Z
f29cde22692eb5a180c5378f46f03a384705f293,"refactor: Minor optimization for updating DatasetDAO columns and metrics (#20473)

Co-authored-by: John Bodley <john.bodley@airbnb.com>",John Bodley,john-bodley,2022-06-25T21:31:04Z
