SHA,Message,Author,Username,Date
8f253039280bb5cef7e6db6315c9d31738f168dd,:sparkles: Make it possible to trigger all X minutes/hours,Jan Oberhauser,janober,2019-12-31T23:41:47Z
a6403fcc81bc08a29b61e9aeeeed42b79c0e74e2,done,Ricardo Espinoza,RicardoE105,2019-12-31T21:24:01Z
2f56561bff909222c58ceb7e195b5d0406d9b3da,:twisted_rightwards_arrows: Merge branch 'RicardoE105-feature/toggl-trigger',Jan Oberhauser,janober,2019-12-31T20:30:17Z
584033ab4a99c6047b31df50ca038d071b7a01ac,:sparkles: Add polling support to Trigger-Nodes,Jan Oberhauser,janober,2019-12-31T20:19:37Z
7c44571be88cc72fe85f77d3a9e6dd982f90ab24,Merge branch 'master' into feature/wordpress-node,Ricardo Espinoza,RicardoE105,2019-12-30T21:08:43Z
c172ac4879866547219de1f24d409fe91b4df331,done,Ricardo Espinoza,RicardoE105,2019-12-30T21:08:22Z
d072321ad4ee2c9a569c3a74a9623611307499a8,:twisted_rightwards_arrows: Merge branch 'feature/toggl-trigger' of https://github.com/RicardoE105/n8n into RicardoE105-feature/toggl-trigger,Jan Oberhauser,janober,2019-12-30T20:12:33Z
c7978aa4a446a07622e84ebc83688f7022e12ded,:twisted_rightwards_arrows: Merge branch 'master' of github.com:n8n-io/n8n,Jan Oberhauser,janober,2019-12-30T19:41:52Z
cd340c1a447635f16aacc4ce70cdfbba668dab3f,:twisted_rightwards_arrows: Merge branch 'depfu/update/packagescli/npm/open-7.0.0',Jan Oberhauser,janober,2019-12-30T19:41:25Z
d726eef239a5dd560be98c6c7f1ef0f847f6db69,:arrow_up: Update some more packages to latest version,Jan Oberhauser,janober,2019-12-30T19:38:55Z
ccabff72bce652037b8a39682bd0f79e2c398e8c,":twisted_rightwards_arrows: Merge pull request #172 from n8n-io/depfu/update/packagescli/npm/open-7.0.0

[packages/cli] Upgrade open to version 7.0.0",Jan,janober,2019-12-30T15:16:55Z
a3bc35d971a95f39ee685a64e0694e375e76d99e,:twisted_rightwards_arrows: Merge branch 'master' into depfu/update/packagescli/npm/open-7.0.0,Jan Oberhauser,janober,2019-12-30T15:11:53Z
93c974308f96a57139041e5aa51d60bd4c0738fc,:bug: Fix new string input issue,Jan Oberhauser,janober,2019-12-30T05:04:51Z
93f1695e72ca9d1bda3564dbb5c9eaac8ddf418a,:twisted_rightwards_arrows: Merge branch 'master' of github.com:n8n-io/n8n,Jan Oberhauser,janober,2019-12-29T21:13:27Z
0ba712cd9278512c2c0dc083b81f68379a57fecf,:shirt: Fix lint issue,Jan Oberhauser,janober,2019-12-29T21:13:15Z
e4d647420503b82c2cf3f05290f9193d6f037d9b,":twisted_rightwards_arrows: Merge pull request #171 from n8n-io/depfu/update/packagescli/npm/nodemon-2.0.2

[packages/cli] Upgrade nodemon to version 2.0.2",Jan,janober,2019-12-29T21:07:57Z
49e22855733a23e832465bcc0a0431a01a62578d,:arrow_up: Update packages to latest version on n8n-editor-ui,Jan Oberhauser,janober,2019-12-29T21:02:21Z
e2b74abe62f45e4e507d64101f5bd2cea60c666b,Update open to version 7.0.0,depfu[bot],depfu[bot],2019-12-29T19:55:17Z
7f0287ccbf3e99a4a022832b2b00ec9dbeedbd15,:twisted_rightwards_arrows: Merge branch 'master' of github.com:n8n-io/n8n,Jan Oberhauser,janober,2019-12-29T19:02:46Z
0ca4362d66b0c9abdbf5c9e8cb2c9ae9db992863,Update nodemon to version 2.0.2,depfu[bot],depfu[bot],2019-12-29T18:45:16Z
da425ff8575af206f3b2e938eeb2b1830118a753,:arrow_up: Set localtunnel@2.0.0 on n8n,Jan Oberhauser,janober,2019-12-29T18:22:37Z
ec7012097a22829a9299feeb8467c56de83e978e,":twisted_rightwards_arrows: Merge pull request #169 from n8n-io/depfu/update/packagescli/npm/inquirer-7.0.1

[packages/cli] Upgrade inquirer to version 7.0.1",Jan,janober,2019-12-29T18:13:41Z
a3f6fa2c5dd8123dd80e28fa8e232b40b5981bef,:twisted_rightwards_arrows: Merge branch 'master' into depfu/update/packagescli/npm/inquirer-7.0.1,Jan Oberhauser,janober,2019-12-29T18:11:35Z
bb16d691cddf4904c65f4ac190f446a01f7210a5,":twisted_rightwards_arrows: Merge pull request #168 from n8n-io/depfu/update/packagescli/npm/@types/dotenv-8.2.0

[packages/cli] Upgrade @types/dotenv to version 8.2.0",Jan,janober,2019-12-29T16:23:11Z
1043e81472ec3a1b676e66e1252cb79d223a5d94,Update inquirer to version 7.0.1,depfu[bot],depfu[bot],2019-12-29T16:20:19Z
bf0fb1b5fed46542062d2cbcaf072f6ec1542231,Update @types/dotenv to version 8.2.0,depfu[bot],depfu[bot],2019-12-29T15:07:42Z
50f3d9bb5a3b949001ba6fee6b0444ead5018ff5,:sparkles: Add HTML Extract-Node,Jan Oberhauser,janober,2019-12-29T03:28:15Z
e1be29194916792c33ce758677af125b6559b02c,:zap: Add subtitle to HTTP Request Node,Jan Oberhauser,janober,2019-12-29T03:24:14Z
40ab92bcc11358ea440dc7d4e17d374eba7244db,":twisted_rightwards_arrows: Merge pull request #166 from n8n-io/depfu/update/packagescli/npm/@types/compression-1.0.1

[packages/cli] Upgrade @types/compression to version 1.0.1",Jan,janober,2019-12-27T22:10:14Z
fe9b37375b386c0f8ac88765308af6d4e8964c4d,Update @types/compression to version 1.0.1,depfu[bot],depfu[bot],2019-12-27T20:11:32Z
ec30f10091b5172535fc7be69e8fe5136d91e063,:zap: Make it possible to read from specific sheet,Jan Oberhauser,janober,2019-12-27T16:54:51Z
d943a8ca03cf454e1bc6381474bb12088402fc83,:zap: Improve display name of fileFormats,Jan Oberhauser,janober,2019-12-27T16:33:42Z
4a4373882940f2c5fe0c07b8391805ceacf62cdd,:zap: Allow to set custom sheet name,Jan Oberhauser,janober,2019-12-27T16:33:16Z
72cf3252476ed7e7317c60f7cea2fe84094f71fa,:bug: Fix introduced bug,Jan Oberhauser,janober,2019-12-27T15:32:04Z
a3ad579f89edcd90a9a00bd5f23d5379ba17258f,:zap: Make it possible to read RAW data from Spreadsheets,Jan Oberhauser,janober,2019-12-27T14:50:22Z
a75b844f0e67dabf37fe4e38dabf19e308232eff,:bookmark: Release n8n@0.41.0,Jan Oberhauser,janober,2019-12-27T03:20:43Z
12734199fbf033ec5f2ab179a418e95ca3e91606,:arrow_up: Set n8n-nodes-base@0.36.0 on n8n,Jan Oberhauser,janober,2019-12-27T03:20:09Z
973dde5d9dd7b172c27a152e42988aea85b70e6d,:bookmark: Release n8n-nodes-base@0.36.0,Jan Oberhauser,janober,2019-12-27T03:18:02Z
a6de0499670a93ccc35ab94b0e95dd8fc9728abd,":twisted_rightwards_arrows: Merge pull request #165 from tildabio/master

Enable external module imports in Function-node",Jan,janober,2019-12-27T03:05:36Z
04cdb0890617418706e4a50d30da93d090da613c,"Enable external module imports in Function-node

Enable whitelist support to pick external modules which are allowed in
Function-node. The environment variable NODE_FUNCTION_ALLOW_EXTERNAL specifies
the list of modules to whitelist.",Ram Yalamanchili,ramyala,2019-12-27T02:49:48Z
b3f3ce25ddd2a8e91f0216b80d5ee96f290fd6c7,:construction_worker: Automatically run tests,Jan,janober,2019-12-25T00:25:44Z
1ed5a4589d389a8957181f6e00209c092b5a01be,:zap: Improve handling of incorrect return data of Function Nodes,Jan Oberhauser,janober,2019-12-23T20:54:27Z
